,index,qtype,story,perceivers,story_with_perceivers
921,1050,second_order_0_tom,"['Carter entered the workshop', 'Alexander dislikes the grapefruit', 'Alexander is in the workshop', 'The grapefruit is in the bathtub', 'The bathtub is in the workshop', 'Mason entered the hallway', 'Carter exited the workshop', 'Carter entered the hallway', 'Mason exited the hallway', 'Alexander moved the grapefruit to the envelope', 'The envelope is in the workshop']","[['Carter'], ['Alexander'], ['Alexander', 'Carter'], ['Alexander', 'Carter'], ['Alexander', 'Carter'], ['Mason'], ['Carter', 'Alexander'], ['Carter', 'Mason'], ['Mason', 'Carter'], ['Alexander'], ['Alexander']]","[{'Carter entered the workshop': ['Carter']}, {'Alexander dislikes the grapefruit': ['Alexander']}, {'Alexander is in the workshop': ['Alexander', 'Carter']}, {'The grapefruit is in the bathtub': ['Alexander', 'Carter']}, {'The bathtub is in the workshop': ['Alexander', 'Carter']}, {'Mason entered the hallway': ['Mason']}, {'Carter exited the workshop': ['Carter', 'Alexander']}, {'Carter entered the hallway': ['Carter', 'Mason']}, {'Mason exited the hallway': ['Mason', 'Carter']}, {'Alexander moved the grapefruit to the envelope': ['Alexander']}, {'The envelope is in the workshop': ['Alexander']}]"
924,1055,second_order_1_tom,"['Mason hates the spinach', 'Liam entered the laundry', 'Jackson entered the laundry', 'The jacket is in the bottle', 'The bottle is in the laundry', 'Liam exited the laundry', 'Jackson moved the jacket to the envelope', 'The envelope is in the laundry']","[['Mason'], ['Liam'], ['Jackson', 'Liam'], ['Liam', 'Jackson'], ['Liam', 'Jackson'], ['Liam', 'Jackson'], ['Jackson'], ['Jackson']]","[{'Mason hates the spinach': ['Mason']}, {'Liam entered the laundry': ['Liam']}, {'Jackson entered the laundry': ['Jackson', 'Liam']}, {'The jacket is in the bottle': ['Liam', 'Jackson']}, {'The bottle is in the laundry': ['Liam', 'Jackson']}, {'Liam exited the laundry': ['Liam', 'Jackson']}, {'Jackson moved the jacket to the envelope': ['Jackson']}, {'The envelope is in the laundry': ['Jackson']}]"
925,1056,second_order_0_tom,"['Mila is in the living room', 'Abigail entered the living room', 'The corn is in the crate', 'The crate is in the living room', 'Abigail exited the living room', 'Mila moved the corn to the bottle', 'The bottle is in the living room', 'Abigail entered the back yard', 'Jacob entered the back yard']","[['Mila'], ['Abigail', 'Mila'], ['Mila', 'Abigail'], ['Mila', 'Abigail'], ['Abigail', 'Mila'], ['Mila'], ['Mila'], ['Abigail'], ['Jacob', 'Abigail']]","[{'Mila is in the living room': ['Mila']}, {'Abigail entered the living room': ['Abigail', 'Mila']}, {'The corn is in the crate': ['Mila', 'Abigail']}, {'The crate is in the living room': ['Mila', 'Abigail']}, {'Abigail exited the living room': ['Abigail', 'Mila']}, {'Mila moved the corn to the bottle': ['Mila']}, {'The bottle is in the living room': ['Mila']}, {'Abigail entered the back yard': ['Abigail']}, {'Jacob entered the back yard': ['Jacob', 'Abigail']}]"
927,1064,first_order_1_tom,"['Jacob entered the attic', 'Mia entered the attic', 'The celery is in the bathtub', 'The bathtub is in the attic', 'Mia exited the attic', 'Mia loves the banana', 'Jacob moved the celery to the bucket', 'The bucket is in the attic']","[['Jacob'], ['Mia', 'Jacob'], ['Jacob', 'Mia'], ['Jacob', 'Mia'], ['Mia', 'Jacob'], ['Mia'], ['Jacob'], ['Jacob']]","[{'Jacob entered the attic': ['Jacob']}, {'Mia entered the attic': ['Mia', 'Jacob']}, {'The celery is in the bathtub': ['Jacob', 'Mia']}, {'The bathtub is in the attic': ['Jacob', 'Mia']}, {'Mia exited the attic': ['Mia', 'Jacob']}, {'Mia loves the banana': ['Mia']}, {'Jacob moved the celery to the bucket': ['Jacob']}, {'The bucket is in the attic': ['Jacob']}]"
928,1065,second_order_1_tom,"['Jack entered the living room', 'Liam entered the living room', 'The sweet potato is in the cupboard', 'The cupboard is in the living room', 'Liam exited the living room', 'Jack moved the sweet potato to the envelope', 'The envelope is in the living room', 'Charlotte dislikes the skirt', 'Charlotte entered the hallway', 'Jack exited the living room', 'Charlotte exited the hallway', 'Liam entered the hallway']","[['Jack'], ['Liam', 'Jack'], ['Jack', 'Liam'], ['Jack', 'Liam'], ['Liam', 'Jack'], ['Jack'], ['Jack'], ['Charlotte'], ['Charlotte'], ['Jack'], ['Charlotte'], ['Liam']]","[{'Jack entered the living room': ['Jack']}, {'Liam entered the living room': ['Liam', 'Jack']}, {'The sweet potato is in the cupboard': ['Jack', 'Liam']}, {'The cupboard is in the living room': ['Jack', 'Liam']}, {'Liam exited the living room': ['Liam', 'Jack']}, {'Jack moved the sweet potato to the envelope': ['Jack']}, {'The envelope is in the living room': ['Jack']}, {'Charlotte dislikes the skirt': ['Charlotte']}, {'Charlotte entered the hallway': ['Charlotte']}, {'Jack exited the living room': ['Jack']}, {'Charlotte exited the hallway': ['Charlotte']}, {'Liam entered the hallway': ['Liam']}]"
934,1072,first_order_0_tom,"['Mia entered the bathroom', 'Noah entered the bathroom', 'Evelyn loves the raincoat', 'The onion is in the envelope', 'The envelope is in the bathroom', 'Mia exited the bathroom', 'Noah moved the onion to the cupboard', 'The cupboard is in the bathroom']","[['Mia'], ['Noah', 'Mia'], ['Evelyn'], ['Mia', 'Noah'], ['Mia', 'Noah'], ['Mia', 'Noah'], ['Noah'], ['Noah']]","[{'Mia entered the bathroom': ['Mia']}, {'Noah entered the bathroom': ['Noah', 'Mia']}, {'Evelyn loves the raincoat': ['Evelyn']}, {'The onion is in the envelope': ['Mia', 'Noah']}, {'The envelope is in the bathroom': ['Mia', 'Noah']}, {'Mia exited the bathroom': ['Mia', 'Noah']}, {'Noah moved the onion to the cupboard': ['Noah']}, {'The cupboard is in the bathroom': ['Noah']}]"
936,1074,first_order_0_tom,"['Logan loves the onion', 'Logan entered the cellar', 'Alexander entered the cellar', 'The undershirt is in the container', 'The container is in the cellar', 'Logan exited the cellar', 'Alexander moved the undershirt to the basket', 'The basket is in the cellar']","[['Logan'], ['Logan'], ['Alexander', 'Logan'], ['Logan', 'Alexander'], ['Logan', 'Alexander'], ['Logan', 'Alexander'], ['Alexander'], ['Alexander']]","[{'Logan loves the onion': ['Logan']}, {'Logan entered the cellar': ['Logan']}, {'Alexander entered the cellar': ['Alexander', 'Logan']}, {'The undershirt is in the container': ['Logan', 'Alexander']}, {'The container is in the cellar': ['Logan', 'Alexander']}, {'Logan exited the cellar': ['Logan', 'Alexander']}, {'Alexander moved the undershirt to the basket': ['Alexander']}, {'The basket is in the cellar': ['Alexander']}]"
939,1083,second_order_0_tom,"['Lucas entered the dining room', 'Benjamin entered the dining room', 'William entered the dining room', 'The belt is in the treasure chest', 'The treasure chest is in the dining room', 'Benjamin exited the dining room', 'William moved the belt to the bathtub', 'The bathtub is in the dining room', 'William exited the dining room', 'Benjamin hates the grapefruit', 'Benjamin entered the dining room']","[['Lucas'], ['Benjamin', 'Lucas'], ['William', 'Lucas', 'Benjamin'], ['Lucas', 'Benjamin', 'William'], ['Lucas', 'Benjamin', 'William'], ['Benjamin', 'Lucas', 'William'], ['William', 'Lucas'], ['Lucas', 'William'], ['William', 'Lucas'], ['Benjamin'], ['Benjamin', 'Lucas']]","[{'Lucas entered the dining room': ['Lucas']}, {'Benjamin entered the dining room': ['Benjamin', 'Lucas']}, {'William entered the dining room': ['William', 'Lucas', 'Benjamin']}, {'The belt is in the treasure chest': ['Lucas', 'Benjamin', 'William']}, {'The treasure chest is in the dining room': ['Lucas', 'Benjamin', 'William']}, {'Benjamin exited the dining room': ['Benjamin', 'Lucas', 'William']}, {'William moved the belt to the bathtub': ['William', 'Lucas']}, {'The bathtub is in the dining room': ['Lucas', 'William']}, {'William exited the dining room': ['William', 'Lucas']}, {'Benjamin hates the grapefruit': ['Benjamin']}, {'Benjamin entered the dining room': ['Benjamin', 'Lucas']}]"
940,1084,second_order_1_tom,"['Jackson entered the attic', 'Logan entered the sunroom', 'Jayden entered the sunroom', 'The peach is in the box', 'The box is in the sunroom', 'Logan exited the sunroom', 'Jayden moved the peach to the bucket', 'The bucket is in the sunroom']","[['Jackson'], ['Logan'], ['Jayden', 'Logan'], ['Logan', 'Jayden'], ['Logan', 'Jayden'], ['Logan', 'Jayden'], ['Jayden'], ['Jayden']]","[{'Jackson entered the attic': ['Jackson']}, {'Logan entered the sunroom': ['Logan']}, {'Jayden entered the sunroom': ['Jayden', 'Logan']}, {'The peach is in the box': ['Logan', 'Jayden']}, {'The box is in the sunroom': ['Logan', 'Jayden']}, {'Logan exited the sunroom': ['Logan', 'Jayden']}, {'Jayden moved the peach to the bucket': ['Jayden']}, {'The bucket is in the sunroom': ['Jayden']}]"
945,1089,second_order_1_tom,"['Abigail entered the TV room', 'Ava entered the TV room', 'The shirt is in the box', 'The box is in the TV room', 'Ava exited the TV room', 'Abigail moved the shirt to the pantry', 'The pantry is in the TV room', 'Ava hates the tie', 'Abigail exited the TV room', 'Carter entered the crawlspace', 'Carter exited the crawlspace', 'Ava entered the TV room']","[['Abigail'], ['Abigail', 'Ava'], ['Abigail', 'Ava'], ['Abigail', 'Ava'], ['Ava', 'Abigail'], ['Abigail'], ['Abigail'], ['Ava'], ['Abigail'], ['Carter'], ['Carter'], ['Ava']]","[{'Abigail entered the TV room': ['Abigail']}, {'Ava entered the TV room': ['Abigail', 'Ava']}, {'The shirt is in the box': ['Abigail', 'Ava']}, {'The box is in the TV room': ['Abigail', 'Ava']}, {'Ava exited the TV room': ['Ava', 'Abigail']}, {'Abigail moved the shirt to the pantry': ['Abigail']}, {'The pantry is in the TV room': ['Abigail']}, {'Ava hates the tie': ['Ava']}, {'Abigail exited the TV room': ['Abigail']}, {'Carter entered the crawlspace': ['Carter']}, {'Carter exited the crawlspace': ['Carter']}, {'Ava entered the TV room': ['Ava']}]"
946,1090,second_order_0_tom,"['Hunter entered the back yard', 'William entered the back yard', 'The hat is in the crate', 'The crate is in the back yard', 'William likes the cap', 'Hunter hates the orange', 'William exited the back yard', 'Hannah entered the closet', 'Hannah exited the closet', 'Hunter moved the hat to the bottle', 'The bottle is in the back yard', 'Hunter exited the back yard', 'William entered the closet']","[['Hunter'], ['William', 'Hunter'], ['Hunter', 'William'], ['Hunter', 'William'], ['William'], ['Hunter'], ['William', 'Hunter'], ['Hannah'], ['Hannah'], ['Hunter'], ['Hunter'], ['Hunter'], ['William']]","[{'Hunter entered the back yard': ['Hunter']}, {'William entered the back yard': ['William', 'Hunter']}, {'The hat is in the crate': ['Hunter', 'William']}, {'The crate is in the back yard': ['Hunter', 'William']}, {'William likes the cap': ['William']}, {'Hunter hates the orange': ['Hunter']}, {'William exited the back yard': ['William', 'Hunter']}, {'Hannah entered the closet': ['Hannah']}, {'Hannah exited the closet': ['Hannah']}, {'Hunter moved the hat to the bottle': ['Hunter']}, {'The bottle is in the back yard': ['Hunter']}, {'Hunter exited the back yard': ['Hunter']}, {'William entered the closet': ['William']}]"
953,1104,second_order_0_tom,"['Hunter entered the porch', 'Jacob entered the porch', 'The onion is in the drawer', 'The drawer is in the porch', 'Jacob exited the porch', 'Hunter moved the onion to the bathtub', 'The bathtub is in the porch']","[['Hunter'], ['Jacob', 'Hunter'], ['Hunter', 'Jacob'], ['Hunter', 'Jacob'], ['Jacob', 'Hunter'], ['Hunter'], ['Hunter']]","[{'Hunter entered the porch': ['Hunter']}, {'Jacob entered the porch': ['Jacob', 'Hunter']}, {'The onion is in the drawer': ['Hunter', 'Jacob']}, {'The drawer is in the porch': ['Hunter', 'Jacob']}, {'Jacob exited the porch': ['Jacob', 'Hunter']}, {'Hunter moved the onion to the bathtub': ['Hunter']}, {'The bathtub is in the porch': ['Hunter']}]"
955,1107,second_order_0_tom,"['Mason entered the den', 'Isabella entered the den', 'The pumpkin is in the basket', 'The basket is in the den', 'Mason exited the den', 'Mason entered the workshop', 'Isabella moved the pumpkin to the container', 'The container is in the den']","[['Mason'], ['Isabella', 'Mason'], ['Mason', 'Isabella'], ['Mason', 'Isabella'], ['Mason', 'Isabella'], ['Mason'], ['Isabella'], ['Isabella']]","[{'Mason entered the den': ['Mason']}, {'Isabella entered the den': ['Isabella', 'Mason']}, {'The pumpkin is in the basket': ['Mason', 'Isabella']}, {'The basket is in the den': ['Mason', 'Isabella']}, {'Mason exited the den': ['Mason', 'Isabella']}, {'Mason entered the workshop': ['Mason']}, {'Isabella moved the pumpkin to the container': ['Isabella']}, {'The container is in the den': ['Isabella']}]"
959,1114,second_order_1_tom,"['Mason entered the playroom', 'Isla entered the playroom', 'Lucas entered the staircase', 'Lucas exited the staircase', 'The grapefruit is in the drawer', 'The drawer is in the playroom', 'Isla exited the playroom', 'Mason moved the grapefruit to the bucket', 'The bucket is in the playroom']","[['Mason'], ['Isla', 'Mason'], ['Lucas'], ['Lucas'], ['Mason', 'Isla'], ['Mason', 'Isla'], ['Isla', 'Mason'], ['Mason'], ['Mason']]","[{'Mason entered the playroom': ['Mason']}, {'Isla entered the playroom': ['Isla', 'Mason']}, {'Lucas entered the staircase': ['Lucas']}, {'Lucas exited the staircase': ['Lucas']}, {'The grapefruit is in the drawer': ['Mason', 'Isla']}, {'The drawer is in the playroom': ['Mason', 'Isla']}, {'Isla exited the playroom': ['Isla', 'Mason']}, {'Mason moved the grapefruit to the bucket': ['Mason']}, {'The bucket is in the playroom': ['Mason']}]"
964,1119,first_order_0_tom,"['Aiden dislikes the asparagus', 'Mason entered the pantry', 'Mason dislikes the apple', 'Aiden entered the pantry', 'The melon is in the pantry', 'The pantry is in the pantry', 'Mason exited the pantry', 'Aiden moved the melon to the envelope', 'The envelope is in the pantry']","[['Aiden'], ['Mason'], ['Mason'], ['Aiden', 'Mason'], ['Mason', 'Aiden'], ['Mason', 'Aiden'], ['Mason', 'Aiden'], ['Aiden'], ['Aiden']]","[{'Aiden dislikes the asparagus': ['Aiden']}, {'Mason entered the pantry': ['Mason']}, {'Mason dislikes the apple': ['Mason']}, {'Aiden entered the pantry': ['Aiden', 'Mason']}, {'The melon is in the pantry': ['Mason', 'Aiden']}, {'The pantry is in the pantry': ['Mason', 'Aiden']}, {'Mason exited the pantry': ['Mason', 'Aiden']}, {'Aiden moved the melon to the envelope': ['Aiden']}, {'The envelope is in the pantry': ['Aiden']}]"
966,1124,second_order_0_tom,"['Avery entered the pantry', 'Amelia entered the pantry', 'The celery is in the envelope', 'The envelope is in the pantry', 'Amelia exited the pantry', 'Avery moved the celery to the container', 'The container is in the pantry', 'Jack entered the pantry', 'Avery exited the pantry', 'Jack exited the pantry', 'Avery dislikes the persimmon', 'Amelia hates the cucumber', 'Amelia entered the hallway']","[['Avery'], ['Amelia', 'Avery'], ['Avery', 'Amelia'], ['Avery', 'Amelia'], ['Avery', 'Amelia'], ['Avery'], ['Avery'], ['Jack', 'Avery'], ['Avery', 'Jack'], ['Jack'], ['Avery'], ['Amelia'], ['Amelia']]","[{'Avery entered the pantry': ['Avery']}, {'Amelia entered the pantry': ['Amelia', 'Avery']}, {'The celery is in the envelope': ['Avery', 'Amelia']}, {'The envelope is in the pantry': ['Avery', 'Amelia']}, {'Amelia exited the pantry': ['Avery', 'Amelia']}, {'Avery moved the celery to the container': ['Avery']}, {'The container is in the pantry': ['Avery']}, {'Jack entered the pantry': ['Jack', 'Avery']}, {'Avery exited the pantry': ['Avery', 'Jack']}, {'Jack exited the pantry': ['Jack']}, {'Avery dislikes the persimmon': ['Avery']}, {'Amelia hates the cucumber': ['Amelia']}, {'Amelia entered the hallway': ['Amelia']}]"
968,1127,second_order_1_tom,"['Ava is in the sunroom', 'Sophia entered the sunroom', 'The corn is in the bathtub', 'The bathtub is in the sunroom', 'Sophia exited the sunroom', 'Sophia entered the attic', 'Ava likes the shoes', 'Ava moved the corn to the treasure chest', 'The treasure chest is in the sunroom']","[['Ava'], ['Sophia', 'Ava'], ['Ava', 'Sophia'], ['Ava', 'Sophia'], ['Sophia', 'Ava'], ['Sophia'], ['Ava'], ['Ava'], ['Ava']]","[{'Ava is in the sunroom': ['Ava']}, {'Sophia entered the sunroom': ['Sophia', 'Ava']}, {'The corn is in the bathtub': ['Ava', 'Sophia']}, {'The bathtub is in the sunroom': ['Ava', 'Sophia']}, {'Sophia exited the sunroom': ['Sophia', 'Ava']}, {'Sophia entered the attic': ['Sophia']}, {'Ava likes the shoes': ['Ava']}, {'Ava moved the corn to the treasure chest': ['Ava']}, {'The treasure chest is in the sunroom': ['Ava']}]"
971,1134,second_order_0_tom,"['Evelyn entered the study', 'Hannah likes the pants', 'Elizabeth entered the kitchen', 'Hannah entered the kitchen', 'Elizabeth hates the slacks', 'The undershirt is in the suitcase', 'The suitcase is in the kitchen', 'Hannah exited the kitchen', 'Elizabeth moved the undershirt to the bottle', 'The bottle is in the kitchen']","[['Evelyn'], ['Hannah'], ['Elizabeth'], ['Hannah', 'Elizabeth'], ['Elizabeth'], ['Elizabeth', 'Hannah'], ['Elizabeth', 'Hannah'], ['Hannah', 'Elizabeth'], ['Elizabeth'], ['Elizabeth']]","[{'Evelyn entered the study': ['Evelyn']}, {'Hannah likes the pants': ['Hannah']}, {'Elizabeth entered the kitchen': ['Elizabeth']}, {'Hannah entered the kitchen': ['Hannah', 'Elizabeth']}, {'Elizabeth hates the slacks': ['Elizabeth']}, {'The undershirt is in the suitcase': ['Elizabeth', 'Hannah']}, {'The suitcase is in the kitchen': ['Elizabeth', 'Hannah']}, {'Hannah exited the kitchen': ['Hannah', 'Elizabeth']}, {'Elizabeth moved the undershirt to the bottle': ['Elizabeth']}, {'The bottle is in the kitchen': ['Elizabeth']}]"
972,1136,first_order_0_tom,"['Logan entered the bedroom', 'Nathan entered the bedroom', 'The sweatshirt is in the crate', 'The crate is in the bedroom', 'Logan exited the bedroom', 'Nathan moved the sweatshirt to the container', 'The container is in the bedroom', 'Nathan exited the bedroom', 'Logan entered the workshop']","[['Logan'], ['Nathan', 'Logan'], ['Logan', 'Nathan'], ['Logan', 'Nathan'], ['Logan', 'Nathan'], ['Nathan'], ['Nathan'], ['Nathan'], ['Logan']]","[{'Logan entered the bedroom': ['Logan']}, {'Nathan entered the bedroom': ['Nathan', 'Logan']}, {'The sweatshirt is in the crate': ['Logan', 'Nathan']}, {'The crate is in the bedroom': ['Logan', 'Nathan']}, {'Logan exited the bedroom': ['Logan', 'Nathan']}, {'Nathan moved the sweatshirt to the container': ['Nathan']}, {'The container is in the bedroom': ['Nathan']}, {'Nathan exited the bedroom': ['Nathan']}, {'Logan entered the workshop': ['Logan']}]"
973,1137,first_order_0_tom,"['Jack entered the crawlspace', 'Jack exited the crawlspace', 'Avery entered the crawlspace', 'Ava entered the crawlspace', 'The pajamas is in the suitcase', 'The suitcase is in the crawlspace', 'Avery exited the crawlspace', 'Ava moved the pajamas to the drawer', 'The drawer is in the crawlspace']","[['Jack'], ['Jack'], ['Avery'], ['Avery', 'Ava'], ['Avery', 'Ava'], ['Avery', 'Ava'], ['Avery', 'Ava'], ['Ava'], ['Ava']]","[{'Jack entered the crawlspace': ['Jack']}, {'Jack exited the crawlspace': ['Jack']}, {'Avery entered the crawlspace': ['Avery']}, {'Ava entered the crawlspace': ['Avery', 'Ava']}, {'The pajamas is in the suitcase': ['Avery', 'Ava']}, {'The suitcase is in the crawlspace': ['Avery', 'Ava']}, {'Avery exited the crawlspace': ['Avery', 'Ava']}, {'Ava moved the pajamas to the drawer': ['Ava']}, {'The drawer is in the crawlspace': ['Ava']}]"
976,1142,first_order_0_tom,"['Ava entered the bathroom', 'William entered the bathroom', 'The turnip is in the suitcase', 'The suitcase is in the bathroom', 'Ava exited the bathroom', 'Ava entered the attic', 'William moved the turnip to the drawer', 'The drawer is in the bathroom']","[['Ava'], ['William', 'Ava'], ['Ava', 'William'], ['Ava', 'William'], ['Ava', 'William'], ['Ava'], ['William'], ['William']]","[{'Ava entered the bathroom': ['Ava']}, {'William entered the bathroom': ['William', 'Ava']}, {'The turnip is in the suitcase': ['Ava', 'William']}, {'The suitcase is in the bathroom': ['Ava', 'William']}, {'Ava exited the bathroom': ['Ava', 'William']}, {'Ava entered the attic': ['Ava']}, {'William moved the turnip to the drawer': ['William']}, {'The drawer is in the bathroom': ['William']}]"
979,1146,second_order_1_tom,"['Sophia entered the back yard', 'Lily entered the back yard', 'The undershirt is in the envelope', 'The envelope is in the back yard', 'Sophia exited the back yard', 'Jacob entered the bedroom', 'Lily moved the undershirt to the bathtub', 'The bathtub is in the back yard']","[['Sophia'], ['Lily', 'Sophia'], ['Sophia', 'Lily'], ['Sophia', 'Lily'], ['Sophia', 'Lily'], ['Jacob'], ['Lily'], ['Lily']]","[{'Sophia entered the back yard': ['Sophia']}, {'Lily entered the back yard': ['Lily', 'Sophia']}, {'The undershirt is in the envelope': ['Sophia', 'Lily']}, {'The envelope is in the back yard': ['Sophia', 'Lily']}, {'Sophia exited the back yard': ['Sophia', 'Lily']}, {'Jacob entered the bedroom': ['Jacob']}, {'Lily moved the undershirt to the bathtub': ['Lily']}, {'The bathtub is in the back yard': ['Lily']}]"
982,1149,second_order_0_tom,"['Carter entered the hall', 'Carter loves the pumpkin', 'Isla entered the hall', 'The spinach is in the bathtub', 'The bathtub is in the hall', 'Isla exited the hall', 'Isla entered the bedroom', 'Carter moved the spinach to the drawer', 'The drawer is in the hall', 'Chloe entered the bedroom', 'Chloe likes the onion']","[['Carter'], ['Carter'], ['Isla', 'Carter'], ['Carter', 'Isla'], ['Carter', 'Isla'], ['Isla', 'Carter'], ['Isla'], ['Carter'], ['Carter'], ['Chloe', 'Isla'], ['Chloe']]","[{'Carter entered the hall': ['Carter']}, {'Carter loves the pumpkin': ['Carter']}, {'Isla entered the hall': ['Isla', 'Carter']}, {'The spinach is in the bathtub': ['Carter', 'Isla']}, {'The bathtub is in the hall': ['Carter', 'Isla']}, {'Isla exited the hall': ['Isla', 'Carter']}, {'Isla entered the bedroom': ['Isla']}, {'Carter moved the spinach to the drawer': ['Carter']}, {'The drawer is in the hall': ['Carter']}, {'Chloe entered the bedroom': ['Chloe', 'Isla']}, {'Chloe likes the onion': ['Chloe']}]"
983,1152,first_order_1_tom,"['Ethan entered the attic', 'Emily entered the attic', 'The turnip is in the drawer', 'The drawer is in the attic', 'Ethan dislikes the grapes', 'Emily exited the attic', 'Ethan moved the turnip to the bucket', 'The bucket is in the attic', 'Emily entered the garden']","[['Ethan'], ['Emily', 'Ethan'], ['Ethan', 'Emily'], ['Ethan', 'Emily'], ['Ethan'], ['Emily', 'Ethan'], ['Ethan'], ['Ethan'], ['Emily']]","[{'Ethan entered the attic': ['Ethan']}, {'Emily entered the attic': ['Emily', 'Ethan']}, {'The turnip is in the drawer': ['Ethan', 'Emily']}, {'The drawer is in the attic': ['Ethan', 'Emily']}, {'Ethan dislikes the grapes': ['Ethan']}, {'Emily exited the attic': ['Emily', 'Ethan']}, {'Ethan moved the turnip to the bucket': ['Ethan']}, {'The bucket is in the attic': ['Ethan']}, {'Emily entered the garden': ['Emily']}]"
988,1162,second_order_0_tom,"['Lucas entered the hall', 'Evelyn entered the hall', 'The pajamas is in the treasure chest', 'The treasure chest is in the hall', 'Lucas exited the hall', 'Evelyn moved the pajamas to the basket', 'The basket is in the hall']","[['Lucas'], ['Evelyn', 'Lucas'], ['Lucas', 'Evelyn'], ['Lucas', 'Evelyn'], ['Lucas', 'Evelyn'], ['Evelyn'], ['Evelyn']]","[{'Lucas entered the hall': ['Lucas']}, {'Evelyn entered the hall': ['Evelyn', 'Lucas']}, {'The pajamas is in the treasure chest': ['Lucas', 'Evelyn']}, {'The treasure chest is in the hall': ['Lucas', 'Evelyn']}, {'Lucas exited the hall': ['Lucas', 'Evelyn']}, {'Evelyn moved the pajamas to the basket': ['Evelyn']}, {'The basket is in the hall': ['Evelyn']}]"
993,1168,second_order_1_tom,"['Liam entered the kitchen', 'Owen entered the office', 'Emily likes the sweater', 'Owen exited the office', 'Liam loves the orange', 'Emily entered the kitchen', 'The boots is in the bottle', 'The bottle is in the kitchen', 'Liam exited the kitchen', 'Emily moved the boots to the bucket', 'The bucket is in the kitchen', 'Emily exited the kitchen', 'Liam entered the kitchen']","[['Liam'], ['Owen'], ['Emily'], ['Owen'], ['Liam'], ['Emily', 'Liam'], ['Liam', 'Emily'], ['Liam', 'Emily'], ['Liam', 'Emily'], ['Emily'], ['Emily'], ['Emily'], ['Liam']]","[{'Liam entered the kitchen': ['Liam']}, {'Owen entered the office': ['Owen']}, {'Emily likes the sweater': ['Emily']}, {'Owen exited the office': ['Owen']}, {'Liam loves the orange': ['Liam']}, {'Emily entered the kitchen': ['Emily', 'Liam']}, {'The boots is in the bottle': ['Liam', 'Emily']}, {'The bottle is in the kitchen': ['Liam', 'Emily']}, {'Liam exited the kitchen': ['Liam', 'Emily']}, {'Emily moved the boots to the bucket': ['Emily']}, {'The bucket is in the kitchen': ['Emily']}, {'Emily exited the kitchen': ['Emily']}, {'Liam entered the kitchen': ['Liam']}]"
998,1173,second_order_1_tom,"['Jacob entered the front yard', 'Carter entered the front yard', 'The pants is in the pantry', 'The pantry is in the front yard', 'Jacob exited the front yard', 'Carter moved the pants to the box', 'The box is in the front yard', 'Carter exited the front yard', 'Jacob dislikes the cabbage', 'Jacob entered the front yard']","[['Jacob'], ['Carter', 'Jacob'], ['Jacob', 'Carter'], ['Jacob', 'Carter'], ['Jacob', 'Carter'], ['Carter'], ['Carter'], ['Carter'], ['Jacob'], ['Jacob']]","[{'Jacob entered the front yard': ['Jacob']}, {'Carter entered the front yard': ['Carter', 'Jacob']}, {'The pants is in the pantry': ['Jacob', 'Carter']}, {'The pantry is in the front yard': ['Jacob', 'Carter']}, {'Jacob exited the front yard': ['Jacob', 'Carter']}, {'Carter moved the pants to the box': ['Carter']}, {'The box is in the front yard': ['Carter']}, {'Carter exited the front yard': ['Carter']}, {'Jacob dislikes the cabbage': ['Jacob']}, {'Jacob entered the front yard': ['Jacob']}]"
1000,1176,second_order_0_tom,"['Benjamin entered the porch', 'Lucas loves the suit', 'Avery entered the porch', 'Avery exited the porch', 'Lucas entered the porch', 'The onion is in the box', 'The box is in the porch', 'Avery dislikes the shoes', 'Benjamin exited the porch', 'Lucas moved the onion to the container', 'The container is in the porch', 'Lucas exited the porch', 'Benjamin entered the playroom']","[['Benjamin'], ['Lucas'], ['Avery', 'Benjamin'], ['Avery', 'Benjamin'], ['Lucas', 'Benjamin'], ['Benjamin', 'Lucas'], ['Benjamin', 'Lucas'], ['Avery'], ['Benjamin', 'Lucas'], ['Lucas'], ['Lucas'], ['Lucas'], ['Benjamin']]","[{'Benjamin entered the porch': ['Benjamin']}, {'Lucas loves the suit': ['Lucas']}, {'Avery entered the porch': ['Avery', 'Benjamin']}, {'Avery exited the porch': ['Avery', 'Benjamin']}, {'Lucas entered the porch': ['Lucas', 'Benjamin']}, {'The onion is in the box': ['Benjamin', 'Lucas']}, {'The box is in the porch': ['Benjamin', 'Lucas']}, {'Avery dislikes the shoes': ['Avery']}, {'Benjamin exited the porch': ['Benjamin', 'Lucas']}, {'Lucas moved the onion to the container': ['Lucas']}, {'The container is in the porch': ['Lucas']}, {'Lucas exited the porch': ['Lucas']}, {'Benjamin entered the playroom': ['Benjamin']}]"
